,Molecule Name,Pubchem ID #,Note,SMILES String,Other SMILES,Method,Contributor,Detection Threshold,Detection Units,Normalized Detection Threshold,Molecule Odour,Resources,N
219,"(2R,2\\\'S,5\\\'R)-Lilac alcohol",526973,CAS No. 525598-07-6,C[C@H](CO)[C@]1(C)CC[C@@](C)(O1)C=C,C[C@H](CO)[C@]1(C)CC[C@@](C)(O1)C=C,Extended Leffingwell Name + Cactus,DW,2.20E+01,ng,0.022000000000000002,sweet,,109
220,"(2S,2\\\'R,1\\\'\\\'R)-Nectaryl",175661,CAS No. from http://www.thegoodscentscompany.com/data/rw1052381.html,C[C@H](C[C@@H]1CCCC1=O)[C@@H]2CCC(=CC2)C,C[C@H](C[C@@H]1CCCC1=O)[C@@H]2CCC(=CC2)C,Extended Leffingwell Name + Cactus,DW,1.12E+01,ng/L air,0.0112,"Rather weak and uncharacteristic fruity-lactonic odour with some additional resemblance of green apple, it does not contribute much to the commercial Nectaryl.",,110
221,"(2R,2\\\'S,1\\\'\\\'S)-Nectaryl",175661,,CC1=CCC(CC1)C(C)CC2CCCC2=O,,,,,,,,,110
222,"(2S,2\\\'R,1\\\'\\\'S)-Nectaryl",175661,,CC1=CCC(CC1)C(C)CC2CCCC2=O,,,,,,,,,111
223,"(2R,2\\\'S,1\\\'\\\'R)-Nectaryl",175661,,C[C@@H](C[C@H]1CCCC1=O)[C@@H]2CCC(=CC2)C,C[C@@H](C[C@H]1CCCC1=O)[C@@H]2CCC(=CC2)C,Extended Leffingwell Name + Cactus,DW,9.40E-02,ng/L air,9.4e-05,"Powerful, very intense, sweet and dry fruity-lactonic odour in the direction of peach and apricots, with some floral undertone, does contribute much to the overall odour of commercial Nectaryl.",,111
224,"(2S,2\\\'S,1\\\'\\\'R)-Nectaryl",175661,,C[C@@H](C[C@@H]1CCCC1=O)[C@@H]2CCC(=CC2)C,C[C@@H](C[C@@H]1CCCC1=O)[C@@H]2CCC(=CC2)C,Extended Leffingwell Name + Cactus,DW,1.49E+01,ng/L air,0.0149,"Rather weak and uncharacteristic fruity-lactonic odour with some additional resemblance of green apple, it does not contribute much to the commercial Nectaryl.",,112
225,"(2R,2\\\'R,1\\\'\\\'R)-Nectaryl",175661,,C[C@H](C[C@H]1CCCC1=O)[C@@H]2CCC(=CC2)C,C[C@H](C[C@H]1CCCC1=O)[C@@H]2CCC(=CC2)C,Extended Leffingwell Name + Cactus,DW,1.12E-01,ng/L air,0.00011200000000000001,"Powerful, very intense, sweet and dry fruity-lactonic odour in the direction of peach and apricots, with some floral undertone, does contribute much to the overall odour of commercial Nectaryl.",,112
226,(R)-(+)-4-propylbutan-4-olide,7742,http://www.thegoodscentscompany.com/data/rw1017151.html,CCC[C@@H]1CCC(=O)O1,CCC[C@@H]1CCC(=O)O1,Cactus,DW,7.00E+02,ppb in water,700.0,"sweet, spicy, herbaceous, hay note, coumarin-like",,113
227,(S)-(-)-4-propylbutan-4-olide,7742,"""""",CCC[C@H]1CCC(=O)O1,CCC[C@H]1CCC(=O)O1,Cactus,DW,8.90E+02,ppb in water,890.0,"fatty, coconut-note, fruity-sweet aspects",,113
228,(R)-(+)-4-butylbutan-4-olide,7704,http://www.thegoodscentscompany.com/data/rw1555271.html,CCCC[C@@H]1CCC(=O)O1,CCCC[C@@H]1CCC(=O)O1,Cactus,DW,3.00E+02,ppb in water,300.0,"spicy-green, coconut note, with almond notes (Mosandl & Gunther, Evaluated as a 1% solution on blotter strips)",,114
229,(S)-(-)-4-butylbutan-4-olide,7704,"""""",CCCC[C@H]1CCC(=O)O1,CCCC[C@H]1CCC(=O)O1,Cactus,DW,1.30E+02,ppb in water,130.0,"fatty coconut note, less intense than (R)-isomer (Mosandl & Gunther, Evaluated as a 1% solution on blotter strips)",,114
230,(R)-(+)-4-pentylbutan-4-olide,11094875,http://www.thegoodscentscompany.com/data/rw1555291.html,CCCCC[C@@H]1CCC(=O)O1,,cross checked on cactus,LC,2.20E+02,ppb in water,220.0,"strong, sweet, soft coconut with fatty-milky aspects (Mosandl & Gunther, Evaluated as a 1% solution on blotter strips)",,115
231,(S)-(-)-4-pentylbutan-4-olide,11094875,"""""",CCCCC[C@H]1CCC(=O)O1,CCCCC[C@H]1CCC(=O)O1,cactus,LC,1.50E+02,ppb in water,150.0,"fatty, moldy, weak coconut note, less intense than (R)-isomer (Mosandl & Gunther, Evaluated as a 1% solution on blotter strips)",,115
232,(R)-(+)-4-hexlbutan-4-olide,183870,http://www.thegoodscentscompany.com/data/rw1555311.html,CCCCCC[C@@H]1CCC(=O)O1,,cross checked on cactus,LC,3.40E+01,ppb in red wine,34.0,"strong, fatty-sweet fruity note, some reminiscence to coconut, caramel (Mosandl & Gunther, Evaluated as a 1% solution on blotter strips); Bourdineaud et. al. describe this as: Fatty, animalic top note. Upon evaporation clearly different from the racemate with regard to the acidic and animalic base notes; In particular suitable for flavours.",,116
233,(S)-(-)-4-hexylbutan-4-olide,183870,"""""",CCCCCC[C@H]1CCC(=O)O1,CCCCCC[C@H]1CCC(=O)O1,cactus,LC,4.70E+01,ppb in red wine,47.0,"soft, sweet coconut note with fruity-fatty aspects (Mosandl & Gunther, Evaluated as a 1% solution on blotter strips); Bourdineaud et. al. describe this as: Fruity, banana like, lactonic and jasmonic like floral top note. Base note is closest to that of the racemate with more volume, less sweet and floral, but heavier and more lactonic.",,116
234,(R)-(+)-4-heptylbutan-4-olide,10154345,http://www.thegoodscentscompany.com/data/rw1555331.html,CCCCCCC[C@@H]1CCC(=O)O1,,cross checked on cactus,LC,4.00E+00,ppb in water,4.0,"strong, fatty-sweet, reminiscent of peach, with some bloomy aspects (Mosandl & Gunther); strong, sweet, coconut (Yamamoto)",,117
235,(S)-(-)-4-heptylbutan-4-olide,10154345,"""""",CCCCCCC[C@H]1CCC(=O)O1,CCCCCCC[C@H]1CCC(=O)O1,cactus,LC,1.20E+01,ppb in water,12.0,"fatty-sweet aldehyde note less intense than its enantiomer (Mosandl & Gunther); sweet, coconut (Yamamoto)",,117
236,(R)-(+)-4-octylbutan-4-olide,10888889,http://www.thegoodscentscompany.com/data/rw1555351.html,CCCCCCCC[C@@H]1CCC(=O)O1,,cross checked on cactus,LC,8.00E+00,ppb in red wine,8.0,"strong, fruity-sweet, bloomy note with aldehyde and woody aspects (Mosandl & Gunther, Evaluated as a 1% solution on blotter strips)",,118
237,(S)-(-)-4-octylbutan-4-olide,10888889,"""""",CCCCCCCC[C@H]1CCC(=O)O1,CCCCCCCC[C@H]1CCC(=O)O1,cactus,LC,3.90E+01,ppb in red wine,39.0,"fatty-fruity, milky note, less intense than (R)-isomer (Mosandl & Gunther, Evaluated as a 1% solution on blotter strips)",,118
238,"(3R,4S)-(-)-4-butyl-3-methylbutan-4-olide",102395001,http://www.leffingwell.com/chirality/whiskeylactone.htm,CCCCC[C@@H]1OC(=O)C[C@@H]1C,CCCCC[C@@H]1OC(=O)C[C@@H]1C,chem draw + cactus,LC,305-330,ppb in white wine,305.0,"strong coconut note, reminiscent of celery",,119
239,"(3S,4R)-(+)-4-butyl-3-methylbutan-4-olide",102395001,"""""",CCCCC[C@H]1OC(=O)C[C@H]1C,CCCCC[C@H]1OC(=O)C[C@H]1C,chem draw + cactus,LC,140-172,ppb in white wine,140.0,"piquant celery note, faint coconut note, green walnut note",,119
240,"(3R,4R)-(+)-4-butyl-3-methylbutan-4-olide",102395001,"""""",CCCCC[C@H]1OC(=O)C[C@H]1C,CCCCC[C@H]1OC(=O)C[C@H]1C,chem draw + cactus,LC,1.32E+02,ppb in white wine,132.0,"sweet woody, bright fresh coconut note",,120
241,"(3S,4S)-(-)-4-butyl-3-methylbutan-4-olide",102395001,"""""",CCCCC[C@@H]1OC(=O)C[C@@H]1C,CCCCC[C@@H]1OC(=O)C[C@@H]1C,chem draw + cactus,LC,20-24,ppb in white wine,20.0,"faint coconut note, faint musty, earthy, remeniscant of hay",,120
242,(R)-(+)-5-hexylpentan-5-olide,61204,http://www.perflavory.com/docs/doc1555491.html,CCCCCCC1CCCC(=O)O1,,cross checkec on cactus,LC,1.00E+02,ppb,100.0,"Fruity, sweet, creamy",,121
243,(S)-(-)-5-hexylpentan-5-olide,61204,"""""",CCCCCC[C@H]1CCCC(=O)O1,CCCCCC[C@H]1CCCC(=O)O1,cactus,LC,3.00E+01,ppb,30.0,"Fruity, sweet, milky",,121
244,"(4S,5S)-(+)-cis-4-methyl-5-decanolide or (4S,5S)-(-)-cis-Aerangis lactone",11094871,http://www.thegoodscentscompany.com/data/rw1552341.html,CCCCC[C@@H]1OC(=O)CC[C@@H]1C,CCCCC[C@@H]1OC(=O)CC[C@@H]1C,chem draw + cactus,LC,1.30E-01,ng,0.00013000000000000002,"reminiscent of certain aspects of the smell of the flower of the tuberose (Polianthes tuberosa) and gardenia varieties and on the other hand is reminiscent of caramel, condensed milk and coconut, especially coconut milk",,122
245,"(4R,5R)-(+)-cis-4-methyl-5-decanolide or (4R,5R)-(+)-cis-Aerangis lactone",11094871,"""""",CCCCC[C@H]1OC(=O)CC[C@H]1C,CCCCC[C@H]1OC(=O)CC[C@H]1C,chem draw + cactus,LC,3.00E+01,ng,0.03,"reminiscent of delta-decalactone and coconut, and with a fragrance intensity much lower than the (4S,5S)-isomer",,122
246,"(4S,5R)-trans-4-methyl-5-decanolide or (4S,5R)-trans-aerangis lactone",12839888,copy and pasted the whole thing into google,CCCCC[C@H]1OC(=O)CC[C@@H]1C,CCCCC[C@H]1OC(=O)CC[C@@H]1C,chem draw + cactus,LC,5.00E+01,ng,0.05,"reminiscent of delta-decalactone and cocos, with similar intensity to the cis-(4R,5R)-enantiomer and higher than the trans-(4R,5S)-enantiomer",,123
247,"(4R,5S)-trans-4-methyl-5-decanolide or (4R,5S)-trans-aerangis lactone",12839888,,CCCCC[C@@H]1OC(=O)CC[C@H]1C,CCCCC[C@@H]1OC(=O)CC[C@H]1C,chem draw + cactus,LC,1.00E+02,ng,0.1,"showed slightly lactonic fragrance, with the lowest fragrance intensity of all the stereoisomers",,123
248,(3R)-Butylphthalide,61361,,CCCCC1C2=CC=CC=C2C(=O)O1,,cross checked on pubchem - direct google result,LC,3.70E-01,ppm,370.0,"Celery stem odor, heavy, somewhat spicy. Less intense in fresh celery odor than (S)-enantiomer.",,124
249,(3S)-Butylphthalide,11116832,,CCCC[C@H]1C2=CC=CC=C2C(=O)O1,,cross checked on pubchem - direct google result,LC,7.00E-02,ppm,70.0,"Celery stem odor, strong, fresh, with aspects of celery leaf",,124
250,"(3S,3aR,7aR)-3-Butylhexahydrophthalide",12367055,,CCCC[C@@H]1OC(=O)[C@@H]2CCCC[C@H]12,CCCC[C@@H]1OC(=O)[C@@H]2CCCC[C@H]12,chem draw + cactus,LC,2.50E+01,ng,0.025,"reminiscent of dry celery leaves by GC-O; also described as \\xe2\\x80\\x9ccelery, fruity""",,125
251,"(3R,3aS,7aS)-3-Butylhexahydrophthalide",12367055,,CCCC[C@H]1OC(=O)[C@H]2CCCC[C@@H]12,CCCC[C@H]1OC(=O)[C@H]2CCCC[C@@H]12,chem draw + cactus,LC,1.25E+01,ng,0.0125,"herbaceous, like celery by GC-O; also described as \\xe2\\x80\\x9ccelery, fruity""",,125
252,"(+)-(3R,3aR)-Sedanolide - 99.1% ee ",12315452,,CCCC[C@@H]1[C@@H]2CCCC=C2C(=O)O1,,cross checked on pubchem - direct google result,LC,1.60E+00,ppm,160000.0,"Natural celery stem odor, herbal, and bitter.",,126
253,"(-)-(3S,3aS)-Sedanolide - 99.6% ee",12315453,,CCCC[C@H]1[C@H]2CCCC=C2C(=O)O1,,cross checked on pubchem ,LC,1.90E+00,ppm,190000.0,Very weak odor. No impression of celery,,126
254,(-)-(S)-Sedanenolide,3085257,,CCCC[C@H]1C2=C(C=CCC2)C(=O)O1,,,,1.40E-01,ppm,140.0,"Celery stem odor, strong, fresh, with aspects reminiscent of celery fibers.",,127
255,(+)-(R)-Sedanenolide,3085257,,CCCC[C@H]1C2=C(C=CCC2)C(=O)O1,,,,6.00E-01,ppm,600.0,"Celery stem odor, bitter, Less intense in fresh celery odor than (S)-(-)-enantiomer",,127
256,"(+)-(3S,3aS,6S,7aS)-Perhydro-3,6-dimethyl-2-benzo[b]furanone",22857118,http://www.leffingwell.com/chirality/menthanelactone2.htm,C[C@H]1CC[C@H]2[C@H](C)C(=O)O[C@H]2C1,C[C@H]1CC[C@H]2[C@H](C)C(=O)O[C@H]2C1,chem draw + cactus ,LC,5.00E-01,ng/L air,0.0005,coconut like by GC-O (Katja Buhr),,128
257,"(+)-(3R,3aR,6R,7aR)-perhydro-3,6-dimethyl-2-benzo[b]furanone",22857116,http://www.leffingwell.com/chirality/menthanelactone2.htm,C[C@@H]1CC[C@@H]2[C@@H](C)C(=O)O[C@@H]2C1,C[C@@H]1CC[C@@H]2[C@@H](C)C(=O)O[C@@H]2C1,chem draw + cactus ,LC,1.50E-01,ng/L air,0.00015,"tonka, beans, hay, flouve type characters are best represented whose coumarinic character is more marked in the bottom note than in the top note, and is accompanied of a metallic side (Gaudin); also described as coconut like by GC-O (Katja Buhr)",,128
258,"(3S,3aR,7aR)-Wine lactone",6427076,CAS No. 78168-35-1 from http://www.molbase.com/moldata/22251685.html#,"C[C@H]1[C@H]2CCC(=C[C@@H]2OC1=O)C\n","C[C@H]1[C@H]2CCC(=C[C@@H]2OC1=O)C\n",chem draw + cactus ,LC,0.05-0.2,ng/L air,5e-05,cocount like,,129
259,"(3R,3aS,7aS)-Wine lactone",6427076,"""""",C[C@@H]1[C@@H]2CCC(=C[C@H]2OC1=O)C\r,C[C@@H]1[C@@H]2CCC(=C[C@H]2OC1=O)C\r,chem draw + cactus,,8-16,ng/L air,0.008,coconut like,,129
260,"(3S,3aS,7aS)-Wine lactone",6427076,"""""","C[C@H]1[C@@H]2CCC(=C[C@@H]2OC1=O)C","C[C@H]1[C@@H]2CCC(=C[C@@H]2OC1=O)C",chem draw + cactus,LC,0.007-0.014,ng/L air,7.000000000000001e-06,coconut like,,130
261,"(3R,3aR,7aR)-Wine lactone",6427076,"""""","C[C@@H]1[C@H]2CCC(=C[C@H]2OC1=O)C","C[C@@H]1[C@H]2CCC(=C[C@H]2OC1=O)C",chem draw + cactus,LC,14-28,ng/L ir,0.013999999999999999,coconut like,,130
262,"(-)-(S)-4,8-dimethylnon-7-en-4-olide",9942315,,CC(C)=CCC[C@@]1(C)CCC(=O)O1,CC(C)=CCC[C@@]1(C)CCC(=O)O1,cactus,LC,6.50E-01,ppb (in water),0.65,fresh fruity lactone odour with peach and/or pear-like nuances It also has green and floral notes,,131
263,"(+)-(R)-4,8-dimethylnon-7-en-4-olide",9942315,,CC(C)=CCC[C@]1(C)CCC(=O)O1,CC(C)=CCC[C@]1(C)CCC(=O)O1,cactus,LC,1.60E-01,ppb (in water),0.16,an oily and heavy lactone odour which is expressed rather milky and coconut-like.,,131
264,(R)-cis-6-gamma-dodecenolactone,5352428,http://bioinformatics.charite.de/mvoc/index.php?site=ergebnis&species=Dinoroseobacter%20sp.,CCCCC/C=C/C[C@H]1CCC(=O)O1\r,CCCCC/C=C/C[C@H]1CCC(=O)O1\r,chem draw + cactus,LC,1.22E+01,pg(in air),0.0122,"flowery, fruity, coconut-, peach- and apricot-like. The odor of the (R)-enanantiomer was described as being significantly weaker than the (S)-enantiomer, although no sensory differences in odor quality were noted",,132
265,(S)-cis-6-gamma-dodecenolactone,5352428,^^typed the whole thing in google,CCCCC/C=C/C[C@@H]1CCCC(=O)O1,CCCCC/C=C/C[C@@H]1CCCC(=O)O1,chem draw + cactus,LC,4.60E+00,pg(in air),0.0046,"flowery, fruity, coconut-, peach- and apricot-like. The odor of the (S)-enanantiomer was described as being significantly stronger than the (R)-enantiomer, although no sensory differences in odor quality were noted",,132
266,(+)-(S)-Sotolone,5325921,CAS No. 87068-69-7 from http://www.molbase.com/moldata/3566993.html,C[C@@H]1OC(=O)C(=C1C)O,C[C@@H]1OC(=O)C(=C1C)O,chem draw + cactus,LC,8.00E-01,ppb,0.8,"curry, walnut (strongly caramelic)",,133
267,(-)-(R)-Sotolone,5325921,"""""","C[C@H]1OC(=O)C(=C1C)O","C[C@H]1OC(=O)C(=C1C)O",chem draw + cactus,LC,8.90E-01,ppb,0.89,"walnut, rancid. Although the aromatic nuances of both enantiomers were quite similar, the perception threshold of (S)-sotolon in dilute alcohol solution (12% vol) was >100 times lower than that of (R)-sotolon.",,133
268,(4S)-(+)-Dihydrobovolide,11788657,http://www.leffingwell.com/chirality/dihydrobovolide.htm,CCCCCC1OC(=O)C(=C1C)C,CCCCCC1OC(=O)C(=C1C)C,chem draw + cactus,LC,3.70E+00,ppm,3700.0,"deep green tea notes (a metallic, spicy, green tea note)",,134
269,(4R)-(-)-Dihydrobovolide,12050368,"""""",CCCCCC1OC(=O)C(=C1C)C,CCCCCC1OC(=O)C(=C1C)C,chem draw + cactus,LC,1.60E+00,ppm,1600.0,light green tea notes (a light and spicy green tea note),,134
270,"(2R,4S)-(-)-cis-2-methyl-4-propyl.-1,2-oxathiane",101010,copy and pasted the entire name into google,CCC[C@H]1CCO[C@H](S1)C,CCC[C@H]1CCO[C@H](S1)C,from pubchem - direct from google search,LC,4.00E+00,,4000.0,"sulfurous, herbaceous-green, roasty, linseed oil-like, onion; described by Ohloff as fresh, floral, less sulfury than the 2S,4R-isomer",,135
271,"(2S,4R)-(+)-cis-2-methyl-4-propyl.-1,3-oxathiane",101010,^^,CCCC1CCOC(S1)C,,,,2.00E+00,,2000.0,"sulfurous, fatty, fruity-green, tropical fruits, grapefruits",,135
272,"(1R,2R)-(-)-Methyl dihydrojasmonate",1738124,For this group of molecule with no units for detection threshold I assumed ppm,CCCCC[C@@H]1[C@H](CCC1=O)CC(=O)OC,,cross checked with chem draw + cactus,LC,2.40E+02,,240000.0,"Floral, sweet, jasminelike",,136
273,"(1S,2S)-(-)-Methyl dihydrojasmonate",1738124,,CCCCC[C@@H]1[C@H](CCC1=O)CC(=O)OC,,,,1.54E+04,,15400000.0,"Floral, sweet, jasminelike",,136
274,"(1R,2S)-(+)-Methyl epidihydrojasmonate",102861,Copy and Pasted the name into Google,"CCCCC[C@@H]1[C@@H](CCC1=O)CC(=O)OC","CCCCC[C@@H]1[C@@H](CCC1=O)CC(=O)OC",chem draw + cactus,LC,1.50E+01,,15000.0,"Intensely floral, jasminelike, bright, cis-jasmone, slightly fatty, woody, \\xc3\\x9f-ionone like, extremely long lasting",,137
275,"(1S,2R)-(-)-Methyl epidihydrojasmonate",102861,^^,CCCCCC1C(CCC1=O)CC(=O)OC,,,,1.25E+04,,12500000.0,"Herbal, fatty, tea-like, tobacco, \\xc3\\x9f-damascone, cis-jasmone",,137
276,"(-)-(1R,2S,2\\\'S,4R)-2\\\'-isopropyl-1,7,7-trimethylspiro[bicyclo[2.2.1]heptane-2,4\\\'-[1,3]dioxane]",73555446,CAS No. 188199-50-0 from http://www.thegoodscentscompany.com/data/rw1697031.html; http://www.thegoodscentscompany.com/opl/188199-50-0.html,CC(C)[C@@H]1OCC[C@@]2(O1)C[C@H]3CCC2(C3(C)C)C,,,,2.00E-01,ng/L air,0.0002,"Amber, woody, cedarwood, animal, strong",,138
277,"(+)-(1S,2R,2\\\'R,4S)-2\\\'-isopropyl-1,7,7-trimethylspiro[bicyclo[2.2.1]heptane-2,4\\\'-[1,3]dioxane]",73555446,http://www.leffingwell.com/chirality/spirodioxane2.htm,CC(C)[C@@H]1OCC[C@@]2(O1)C[C@H]3CCC2(C3(C)C)C,,,,8.80E+01,ng/L air,0.08800000000000001,"Woody, camphoraceous, amber, spicy, weak",,138
278,"(+)-(1R,2S,2\\\'R,4R)-2\\\'-isopropyl-1,7,7-trimethylspiro[bicyclo[2.2.1]heptane-2,4\\\'-[1,3]dioxane]",44147112,CAS No. 385766-33-6 from https://iaspub.epa.gov/sor_internet/registry/substreg/searchandretrieve/advancedsearch/externalSearch.do?p_type=CASNO&p_value=385766-33-6,CC(C)[C@H]1OCC[C@@]2(O1)C[C@H]3CCC2(C3(C)C)C,,,,4.00E+01,ng/L air,0.04,"Woody, cedarwood, rosy, spicy, weak",,139
279,"(-)-(1S,2R,2\\\'S,4S)-2\\\'-isopropyl-1,7,7-trimethylspiro[bicyclo[2.2.1]heptane-2,4\\\'-[1,3]dioxane]",44147112,,CC(C)[C@H]1OCC[C@@]2(O1)C[C@H]3CCC2(C3(C)C)C,,,,4.00E+01,ng/L air,0.04,"Woody, piney, slightly amber, weak",,139
280,"(2R,4S)-cis-2-Methyl-4-phenyl-[1,3]dioxolane",9877472,http://www.leffingwell.com/chirality/2-methyl-4-phenyl-1_3-dioxolanes.htm,"C[C@@H]1OC[C@@H](O1)c2ccccc2","C[C@@H]1OC[C@@H](O1)c2ccccc2",chem draw + cactus,LC,1.25E+02,ug/Liter,125.0,"Strong, clear, indole, rose-jasmine, the strongest- and best-smelling enantiomer",,140
281,"(2S,4R)-cis-2-Methyl-4-phenyl-[1,3]dioxolane",9964190,,"C[C@H]1OC[C@H](O1)c2ccccc2","C[C@H]1OC[C@H](O1)c2ccccc2",chem draw + cactus,LC,3.84E+02,ug/Liter,384.0,"Styrene, indole, skatole, hyacinths",,140
282,"(2S,4S)-trans-2-Methyl-4-phenyl-[1,3]dioxolane",10374766,http://www.leffingwell.com/chirality/2-methyl-4-phenyl-1_3-dioxolanes.htm,"C[C@H]1OC[C@@H](O1)c2ccccc2","C[C@H]1OC[C@@H](O1)c2ccccc2",chem draw + cactus,LC,3.84E+02,ug/Liter,384.0,"Floral, woody, diphenyl ether, rose, animal, chocolate note",,141
283,"(2R,4R)-trans-2-Methyl-4-phenyl-[1,3]dioxolane",11819369,,"C[C@@H]1OC[C@H](O1)c2ccccc2","C[C@@H]1OC[C@H](O1)c2ccccc2",chem draw + cactus,LC,5.89E+02,ug/Liter,589.0,"Floral, lilac, woody, orange liquid, chocolate note",,141
284,(+)-(S)-Florhydral\\xc2\\xae,86209,http://www.leffingwell.com/chirality/florhydral.htm,CC(C)c1cccc(c1)[C@@H](C)CC=O\r,CC(C)c1cccc(c1)[C@@H](C)CC=O\r,chem draw + cactus,LC,3.50E-02,ng/L air,0.035,"In comparison with the racemate, the (+)-enantiomer has a more green, less watery, and more powerful fragrance",,142
285,(-)-(R)-Florhydral\\xc2\\xae,86209,,"CC(C)c1cccc(c1)[C@H](C)CC=O","CC(C)c1cccc(c1)[C@H](C)CC=O",chem draw + cactus,LC,8.80E-01,ng/L air,0.08800000000000001,"The (-)- enantiomer has a typical racemic Florhydral\\xc2\\xae smell - floral, fresh, green, muguet-like, but more marine, and more plastic",,142
286,"(-)-(4S,4aS,8aR)-Geosmin",29746,,"C[C@H]1CCC[C@@]2(C)CCCC[C@]12O","C[C@H]1CCC[C@@]2(C)CCCC[C@]12O",chem draw + cactus,LC,0.0082-0.018,ppb,0.0082,earthy-musty. The (-) enantiomer is much more odoriferous than the (+) form. The (-)-enantiomer is the one found in nature,,143
287,"(+)-(4R,4aR,8aS)-Geosmin",15559490,,C[C@@H]1CCC[C@]2(C)CCCC[C@@]12O\r,C[C@@H]1CCC[C@]2(C)CCCC[C@@]12O\r,chem draw + cactus,LC,0.066-0.090,ppb,0.066,earthy-musty. The (+) enantiomer is much weaker in odor than the (-) form,,143
288,(2S)-(+)-2-hexylcyclopentanone,114454,I assumed ppm for these molecules units of detection threshold; http://www.leffingwell.com/chirality/hexylcyclopentanone.htm ,"CCCCCC[C@H]1CCCC1=O","CCCCCC[C@H]1CCCC1=O",chem draw + cactus,LC,7.00E+01,,70000.0,Powerful diffusive warm jasmine-like floral odor with coconut-like fruity and slightly herbaceous note,,144
289,(2R)-(-)-2-hexylcyclopentanone,114454,,CCCCCC[C@@H]1CCCC1=O\r,CCCCCC[C@@H]1CCCC1=O\r,chem draw + cactus,LC,7.00E+01,,70000.0,Powerful diffusive warm jasmine-like floral odor with somewhat mandarin-like citrus side note and more tenacious than the (S)-isomer,,144
290,(2S)-(+)-2-heptylcyclopentanone,8710,http://www.leffingwell.com/chirality/heptylcyclopentanone.htm,CCCCCCC[C@@]1(C)CCCC1=O\r,CCCCCCC[C@@]1(C)CCCC1=O\r,chem draw + cactus,LC,1.00E+01,,10000.0,"Heavy, coconut-like oily fruity and jasmine-like floral odor with somewhat herbaceous side note",,145
291,(2R)-(-)-2-heptylcyclopentanone,8710,,CCCCCCC[C@@H]1CCCC1=O\r,CCCCCCC[C@@H]1CCCC1=O\r,chem draw + cactus,LC,1.00E+01,,10000.0,Powerful diffusive warm jasmine-like floral odor with somewhat mandarin-like citrus side note and more tenacious than the (S)-isomer,,145
292,(-)-(R)-2-methoxy-3-[1-methylpropyl]pyrazine,520098,,CC[C@@H](C)c1nccnc1OC,CC[C@@H](C)c1nccnc1OC,chem draw + cactus,LC,1.00E-01,,100.0,"a burdocklike, green and earthy odor; Qualitatively, there is no significant difference between the organoleptic properties of the (S)-(+)-, (R)-(-) enantiomers or the racemate but the (-)-(R)-2-methoxy-3-[1-methylpropyl]pyrazine appears to have a somewhat more burdock like aroma than its antipode",,146
293,(+)-(S)-2-methoxy-3-[1-methylpropyl]pyrazine,6951559,,"CC[C@H](C)c1nccnc1OC\r","CC[C@H](C)c1nccnc1OC\r",chem draw + cactus,LC,1.00E-01,,100.0,"a burdock like, green and earthy odor",,146
294,"(+)-(4R,7S)-7-Methyl-4-isopropyl-4,5,6,7-tetrahydro-1,3-benzothiazole",57907421,Copy and pasted the enitre name into google; http://www.leffingwell.com/chirality/methylisopropyltetrahydrobenzothiazole.htm,"CC(C)C1CC[C@H](C)c2scnc12","CC(C)C1CC[C@H](C)c2scnc12",chem draw + cactus,LC,1.80E-01,ppb,0.11800000000000001,Bell pepper odor,,147
295,"(-)-(4S,7R)-7-Methyl-4-isopropyl-4,5,6,7-tetrahydro-1,3-benzothiazole",57907421,,CC(C)C1CC[C@@H](C)c2scnc12\r,CC(C)C1CC[C@@H](C)c2scnc12\r,chem draw + cactus,LC,2.20E+01,ppb,22.0,Green minty odor,,147
296,"(+)-methyl (1R)-1,4-dimethylcyclohex-3-ene-1-carboxylate",92279511,,COC(=O)[C@]1(C)CCC(=CC1)C\r,COC(=O)[C@]1(C)CCC(=CC1)C\r,chem draw + cactus,LC,5.85E+00,ppb,5.85,"very fresh, fruity-mint-anisic with a light pear note",,148
297,"(-)-methyl (1S)-1,4-dimethylcyclohex-3-ene-1-carboxylate",92279470,,"COC(=O)[C@@]1(C)CCC(=CC1)C","COC(=O)[C@@]1(C)CCC(=CC1)C",chem draw + cactus,LC,2.01E+01,ppb,20.1,"herbaceous, humus, woody and slight spicy in the direction of resinous-fenugreek, also a little chemical and moldy",,148
298,"(+)-(2S,4S)-Florol\\xc2\\xae",12104424,,CC(C)C[C@H]1C[C@@](CCO1)(C)O,,,,2.60E+01,ng/L air,0.026000000000000002,"Second most intense Florol stereoisomer, but already much weaker. Similar fresh-floral note as the enantiomer, but less sweet and also more linalool-type, more herbaceous, and more earthy in tonality",,149
299,"(-)-(2R,4R)-Florol\\xc2\\xae",12104426,,CC(C)C[C@@H]1C[C@](CCO1)(C)O,,,,1.21E+00,ng/L air,0.00121,"Most pronounced and most intense Florol stereoisomer. Fresh, soft, sweet, and natural floral odor reminiscent of muguet with some rose oxide side note and earthy nuances",,149
300,(+)-(2R)-Tropional\\xc2\\xae,64805,,CC(CC1=CC2=C(C=C1)OCO2)C=O,,,,3.43E+00,ng/L air,0.00343,"floral (Lily of the valley and cyclamen), aldehydic, sweet fruity (lemon)",,150
301,(-)-(2S)-Tropional\\xc2\\xae,64805,,CC(CC1=CC2=C(C=C1)OCO2)C=O,,,,6.40E-01,ng/L air,0.0064,"green floral, marine, ozone-like and salty aspect, fruity sweet, cumin-like undertone",,150
