,Unnamed: 0,Molecule Name,Pubchem ID #,Note,SMILES String,Other SMILES,Method,Contributor,Detection Threshold,Detection Units,Normalized Detection Threshold,Molecule Odour,Resources,N,log_abs,det
348,348,"(2S,4S)-2,4-Dimethyl-2-(1,1,3,3-tetramethylindan-5-yl)-1,3-dioxolane",221640,https://pubchem.ncbi.nlm.nih.gov/compound/221640 CAS. No 1240699-53-9 from http://www.molbase.com/moldata/15835025.html,C[C@H]1CO[C@@](C)(O1)c2ccc3c(c2)C(C)(C)CC3(C)C\r,C[C@H]1CO[C@@](C)(O1)c2ccc3c(c2)C(C)(C)CC3(C)C\r,chem draw + cactus,LC,2.00E+01,ngL-1 air(+/- 7.2 s.d.),0.02,rather weak woody\\xe2\\x80\\x93ambery odor of powdery tonality with some additional mineral character reminiscent of wet stones,,174,0.9030899869919435,-2.3521825181113627
350,350,"(2S,4R)-2,4-Dimethyl-2-(1,1,3,3-tetramethylindan-5-yl)-1,3-dioxolane",221640,"""""; CAS No. 1240699-51-7 from http://www.molbase.com/moldata/15835029.html","C[C@@H]1CO[C@@](C)(O1)c2ccc3c(c2)C(C)(C)CC3(C)C","C[C@@H]1CO[C@@](C)(O1)c2ccc3c(c2)C(C)(C)CC3(C)C",chem draw + cactus ,LC,1.80E+01,ngL-1 air(+/- 8.9 s.d.),0.018000000000000002,weak metallic odor with uncharacteristic woody\\xe2\\x80\\x93ambery aspects,,175,1.0791812460476249,-2.5576408515395497
352,352,"(2S,4S)-2,4-Dimethyl-2-(1,1,3,3-tetramethyl-1,3-disilaindan-5-yl)-1,3-dioxolane",102993,https://pubchem.ncbi.nlm.nih.gov/compound/2_4-Dimethyl-1_3-dioxolane; CAS No. 1240699-57-3 from http://www.molbase.com/moldata/15835009.html,C[C@H]1CO[C@@](C)(O1)c2ccc3c(c2)[Si](C)(C)C[Si]3(C)C\r,C[C@H]1CO[C@@](C)(O1)c2ccc3c(c2)[Si](C)(C)C[Si]3(C)C\r,chem draw + cactus,LC,1.00E+01,ngL-1 air(+/- 8.2 s.d.),0.01,"agrestic, borneol-like odor of woody\\xe2\\x80\\x93earthy character with some aspects of wet moss (not ambery at all)",,176,1.3010299956639813,-3.0211892990699383
354,354,"(2S,4R)-2,4-Dimethyl-2-(1,1,3,3-tetramethyl-1,3-disilaindan-5-yl)-1,3-dioxolane",102993,""""" CAS No. 1240699-55-1 from http://www.molbase.com/moldata/15835013.html","C[C@@H]1CO[C@@](C)(O1)c2ccc3c(c2)[Si](C)(C)C[Si]3(C)C","C[C@@H]1CO[C@@](C)(O1)c2ccc3c(c2)[Si](C)(C)C[Si]3(C)C",chem draw + cactus,LC,3.10E+00,ngL-1 air(+/- 1.4 s.d.),0.0031,"similar woody\\xe2\\x80\\x93ambery note in the direction of okoumal, but overall clearly weaker than the (2R,4R)-enantiomer",,177,0.4913616938342727,-2.8203921672214816
356,356,"(+)-(2S,5S)-Cassyrane",11658397,http://www.thegoodscentscompany.com/data/rw1066191.html CAS No. 1092785-58-4 from http://www.molbase.com/moldata/32860513.html,CCC[C@@]1(O[C@@H](C)C=C1)C(C)(C)C,CCC[C@@]1(O[C@@H](C)C=C1)C(C)(C)C,Extended Leffingwell Name + Cactus,DW,4.00E+01,ng/L air,0.04,"Fruity, cassis, raspberry-type odor with slight herbaceous aspects recalling rosemary",,178,0.5314789170422551,-1.2088837724519887
358,358,"(+)-(2R,5S)-Cassyrane",11658397,"""""",CCC[C@]1(O[C@@H](C)C=C1)C(C)(C)C,CCC[C@]1(O[C@@H](C)C=C1)C(C)(C)C,Extended Leffingwell Name + Cactus,DW,4.00E+01,ng/L air,0.04,Fruity-juicy cassis odor with slightly agrestic aspects and nuances of eucalyptus seed and dried leaves,,179,1.8616973018337186,-2.9645381820609873
360,360,"(+)-(2S,5S)-Dihydrocassyrane",0,,CCC[C@]1(CC[C@H](C)O1)C(C)(C)C,CCC[C@]1(CC[C@H](C)O1)C(C)(C)C,Extended Leffingwell Name + Cactus,DW,2.40E+01,ng/L air,0.024,"Fruity-winey, cassis odor with aspects of raspberry and strawberry, and a slightly fatty tonality",,180,1.1687920203141817,-1.3472473004358503
362,362,"(+)-(2R,5S)-Dihydrocassyrane",0,,CCC[C@@]1(CC[C@H](C)O1)C(C)(C)C,CCC[C@@]1(CC[C@H](C)O1)C(C)(C)C,Extended Leffingwell Name + Cactus,DW,1.01E+02,ng/L air,0.101,"Weak, fruity, cassis-type odor with fresh, camphoraceous and slightly woody facets",,181,0.7032913781186614,-1.4764040052058451
364,364,"(2R,3R)-(+)-2-methyltetrahydrofuran-3-thiol acetate",7157262,https://pubchem.ncbi.nlm.nih.gov/compound/7157262,C[C@H]1OCC[C@H]1SC(C)=O\r,C[C@H]1OCC[C@H]1SC(C)=O\r,chem draw + cactus,LC,3.80E+00,ng/L air,0.0038,"raw garlic and onion-like, savory, musty, sulfurous",,182,0.17609125905568124,-2.3410351573355648
366,366,"(2R,3S)-(+)-2-methyltetrahydrofuran-3-thiol acetate",7157263,https://pubchem.ncbi.nlm.nih.gov/compound/2S_3R_-2-Methyltetrahydrofuran-3-thiol,"C[C@H]1OCC[C@@H]1SC(C)=O\r","C[C@H]1OCC[C@@H]1SC(C)=O\r",chem draw + cactus,LC,1.86E+01,ng/L air,0.0186,"meaty, sesame paste, fried onion and garlic, sweet, sulfurous",,183,0.4061900840974604,-1.9794339640788985
368,368,"(+)-(S)-1-tert-butyl-2,3,3a,4,6,7-hexahydro-3a-methylinden-5-one - Odor description (10% DPG, blotter)",10908,https://pubchem.ncbi.nlm.nih.gov/compound/Tert-butyl-acetate,CC(C)(C)C1=C2CCC(=O)C[C@]2(C)CC1,CC(C)(C)C1=C2CCC(=O)C[C@]2(C)CC1,Cactus,DW,1.06E+01,ngL-1 air,0.0106,"dark woody (woody facet of Cashmeran), agrestic odor with slightly smoky aspects, and nuances of vetiver and oud, and with slightly floral facets (rosy in Mefrosol direction). The odor is more floral and woody than that of the (R)-enantiomer",,184,0.25078889953622063,-2.1179451714544366
370,370,"(-)-(S)-1-tert-butyl-2,3,3a,4-tetrahydro-3a-methylinden-5-one - Odor description (10% DPG, blotter)",10908,,CC(C)(C)C1=C2C=CC(=O)C[C@]2(C)CC1,CC(C)(C)C1=C2C=CC(=O)C[C@]2(C)CC1,Cactus,DW,3.79E+01,ngL-1 air,0.0379,"woody, dry, agrestic odor with coniferous aspects and a slightly fruity, animalic and powdery tonality",,185,0.39966226267490296,-1.665629716675566
372,372,(R)-(+)-(E)-alpha-ionone,5282108,,CC(=O)/C=C/[C@H]1C(=CCCC1(C)C)C\r,CC(=O)/C=C/[C@H]1C(=CCCC1(C)C)C\r,chem draw + cactus,LC,0.03-328,ppb,0.03,"violet-like, fruity, raspberry-like, flowery, strong impact",,186,0.5228787452803376,-1.335792101923193
376,376,(R)-(+)-(E)-alpha-damascone,5366077,,C/C=C/C(=O)[C@H]1C(=CCCC1(C)C)C\r,C/C=C/C(=O)[C@H]1C(=CCCC1(C)C)C\r,chem draw + cactus,LC,1.00E+02,ppb,100.0,"odor character was reminiscent of rose petals, with apple & fruitier notes than (S)-(-)-(E)-alpha-damascone . When used as a flavoring ingredient, (R)-(+)-alpha-damascone possesses also a somehat woody, camphory, dirty and musty taste",,188,1.8239087409443189,0.4706552124704307
378,378,"(1R,6S)-(+)-ethyl tetrahydrosafranate",11735763,Matches according to GoodScents on CAS 22471-55-2,CCOC(=O)[C@@H]1[C@@H](C)CCCC1(C)C\r,CCOC(=O)[C@@H]1[C@@H](C)CCCC1(C)C\r,chem draw + cactus,LC,2.00E+01,ppb,20.0,clean and sweet floral,,189,0.6989700043360189,1.5228787452803374
380,380,"(1R,6S)-(-)-1,6-dihydrodamascone",53754001,http://www.thegoodscentscompany.com/allproc-7.html,C/C=C/C(=O)C[C@H]1[C@H](C)CCCC1(C)C\r,C/C=C/C(=O)C[C@H]1[C@H](C)CCCC1(C)C\r,chem draw + cactus,LC,5.00E+00,ppb,5.0,ripe fruity odor with fresh rosy note,,190,0.8239087409443188,0.11539341870206957
382,382,"(1\\\'R,6\\\'S)-(+)-1\\\',2,3,6\\\'-tetrahydrodamascone",5374527,https://pubchem.ncbi.nlm.nih.gov/compound/beta-Damascone,CCCC(=O)[C@@H]1[C@@H](C)CCCC1(C)C\r,CCCC(=O)[C@@H]1[C@@H](C)CCCC1(C)C\r,chem draw + cactus,LC,1.00E+01,ppb,10.0,heavy fruity,,191,0.3979400086720376,1.154901959985743
384,384,"(1S,6S)-(+)-1,6-dihydroionone",519382,http://www.thegoodscentscompany.com/data/rw1019322.html,C[C@H]1CCCC(C)(C)[C@@H]1\\C=C\\C(C)=O\r,C[C@H]1CCCC(C)(C)[C@@H]1\\C=C\\C(C)=O\r,chem draw + cactus,LC,2.50E+01,ppb,25.0,"very strong violet leaf odor like alpha-ionone (Yamamoto, et. al.); aromatic, carvone, woody, humus, powdery, ionone, myrrh, violet, strong (Chapuis & Brauchli)",,192,0.3979400086720376,1.154901959985743
386,386,(R)-(+)-Dihydro-alpha-ionone,12858404,,CC(=O)CC[C@H]1C(=CCCC1(C)C)C\r,CC(=O)CC[C@H]1C(=CCCC1(C)C)C\r,chem draw + cactus,LC,3.10E+01,ppb,31.0,"Floral, violet-type odor with slightly fruity aspects. Also possesses a woody side, but less pronounced than in dihydro-beta-ionone",,193,0.5086383061657272,1.6751203938424897
388,388,(R)-(-)-Dihydro-gamma-ionone,92256353,,CC(=O)CC[C@H]1C(=C)CCCC1(C)C\r,CC(=O)CC[C@H]1C(=C)CCCC1(C)C\r,chem draw + cactus,LC,6.20E+00,ppb,6.2,"Emanates a fatty, earthy odor with floral, orris-type nuances",,194,0.7986729175282453,1.0293478573773522
390,390,"(1R,6S)-(+)-tetrahydroionol",107272,,C[C@@H](O)CC[C@@H]1[C@@H](C)CCCC1(C)C\r,C[C@@H](O)CC[C@@H]1[C@@H](C)CCCC1(C)C\r,chem draw + cactus,LC,4.00E+02,ppb,400.0,"diffusive amber odor with slightly floral, orrisy and earthy note (Yamamoto et al.); also described as slightly floral and orris-lke amber fragrance (Ohmoto et al. for an ~95: 5 % ratio of trans/cis isomers)",,195,0.3979400086720376,2.7569619513137056
392,392,"(1\\\'R,6\\\'S)-(+)-1-(2\\\',2\\\',6\\\'-Trimethyl-cyclohexyl)-pentan-3-ol",13512565,https://pubchem.ncbi.nlm.nih.gov/compound/3-_Methoxymethyl_pentan-3-ol,CCC(=O)CC[C@@H]1[C@@H](C)CCCC1(C)C\r,CCC(=O)CC[C@@H]1[C@@H](C)CCCC1(C)C\r,chem draw + cactus,LC,5.60E+01,ppb,56.0,very diffusive sharp amber odor with slight orrisy camphoraceous side note,,196,1.1863104242373672,2.021821000245899
394,394,"(1S,5R)-(+)-cis-alpha-irone",5281521,,C[C@@H]1CC=C(C)[C@H](\\C=C\\C(C)=O)C1(C)C\r,C[C@@H]1CC=C(C)[C@H](\\C=C\\C(C)=O)C1(C)C\r,chem draw + cactus,LC,1.00E+05,ppb,100000.0,"iris, sweet irone odour, woody ionone, floral, fruity (Galfry, et.al, by GC sniffing); Violet like, with woody, methylionone undertones (Brenna, et. al.)",,197,1.0,4.259637310505756
396,396,"(1S,5R)-(+)-cis-gamma-irone",6433146,,C[C@@H]1CCC(=C)[C@H](\\C=C\\C(C)=O)C1(C)C\r,C[C@@H]1CCC(=C)[C@H](\\C=C\\C(C)=O)C1(C)C\r,chem draw + cactus,LC,1.00E-01,ppb,0.1,"iris, sweet, woody ionone, dry floral (Galfry, et.al, by GC sniffing); Inoue, et. al., indicate the (-)-cis-gamma-irone fragrance is Floral, green; weak; Brenna, et. al. describe it as showing a floral, fatty, sweet, and woody odour character, an ionone-type odour with slightly sweet aspects",,198,2.1249387366083,-2.8271537957574657
398,398,"(1S,5S)-(-)-trans-gamma-irone",11735894,,C[C@H]1CCC(=C)[C@H](\\C=C\\C(C)=O)C1(C)C\r,C[C@H]1CCC(=C)[C@H](\\C=C\\C(C)=O)C1(C)C\r,chem draw + cactus,LC,2.64E-02,ppb,0.0264,"iris and floral note, ionone, like trans-alpha-irone (Galfry, et.al, by GC sniffing); Brenna, et. al. describe it as not very powerful, but it possesses a soft \\xe2\\x80\\x98orris-butter\\xe2\\x80\\x99-type of odour",,199,0.6353009244666415,-1.3678283339235016
400,400,"(6S)-(+)-8,9-dehydrotheaspirone",6428985,,CC1=CC[C@@]2(O1)C(=CC(=O)CC2(C)C)C\r,CC1=CC[C@@]2(O1)C(=CC(=O)CC2(C)C)C\r,chem draw + cactus,LC,1.00E+02,ppb,100.0,"Fruity-floral aroma (Kataoka, et. al.); floral, woody-ambery, powdery, reminiscent of Cetonal with natural fruity, orris-like facets (Serra, et. al.)",,200,0.6989700043360189,2.221848749616356
402,402,"(-)-(6R)-3,4-Didehydro-gamma-ionone",5363741,http://www.thegoodscentscompany.com/data/rw1035361.html,CC(=O)/C=C/[C@H]1C(=C)C=CCC1(C)C\r,CC(=O)/C=C/[C@H]1C(=C)C=CCC1(C)C\r,chem draw + cactus,LC,2.50E-01,ng/L air,0.00025,"weaker than (+)-(S)-isomer, fruity-floral, slightly woody",,201,0.494850021680094,-3.916453948549925
404,404,"(-)-(6R)-3,4-Didehydro-7,8-dihydro-gamma-ionone",114558,http://www.thegoodscentscompany.com/data/rw1381991.html,"CC(=O)CC[C@H]1C(=C)C=CCC1(C)C","CC(=O)CC[C@H]1C(=C)C=CCC1(C)C",chem draw + cactus,LC,9.94E+01,ng/L iar,0.0994,"weaker on blotter than (+)-(S)-isomer, fruity, agrestic, floral, ionone- and damascone-like, slightly woody, and saffron-like",,202,0.033598557051758064,-1.019737726033975
406,406,(+)-(6R)-alpha-Iso-methylionone (ee = 94%),5372174,,"CC(=O)C(/C)=C/[C@H]1C(=CCCC1(C)C)C","CC(=O)C(/C)=C/[C@H]1C(=CCCC1(C)C)C",chem draw + cactus,LC,7.90E-02,ng/L air,7.900000000000001e-05,"typical dry warm ionone note, irisone, clean tea-like, also on blotter more intense and dryer than (-)-enantiomer",,203,1.0214510010856326,-3.840828703891471
408,408,(+)-(6R)-alpha-n-Methylionone (ee = 93%),16751505,,"CCC(=O)/C=C/[C@H]1C(=CCCC1(C)C)C","CCC(=O)/C=C/[C@H]1C(=CCCC1(C)C)C",chem draw + cactus,LC,5.30E-01,ng/L air,0.00053,"woody, powdery, floral odour in the direction of the ionone family, but less powerful and less intense. Dry-down linear, after 4 h woody-ionone, somewhat orris-like, and after 24 h woody-ionone, fruity, raspberry-type",,204,0.344064627889183,-3.4809736181961055
410,410,"(4S,7R)-(-)-galaxolide",14177990,,"C[C@@H]1COCc2cc3c(cc12)C(C)(C)[C@@H](C)C3(C)C","C[C@@H]1COCc2cc3c(cc12)C(C)(C)[C@@H](C)C3(C)C",chem draw + cactus,LC,6.30E-04,in air,6.3e-07,powerful musk odor,,205,2.3146028028532553,-5.901729029424806
412,412,"(4R,7R)-(+)-galaxolide",91497,,C[C@H]1COCc2cc3c(cc12)C(C)(C)[C@@H](C)C3(C)C\r,C[C@H]1COCc2cc3c(cc12)C(C)(C)[C@@H](C)C3(C)C\r,chem draw + cactus,LC,4.40E-01,in air,0.00044,weak to almost odorless,,206,2.6434526764861874,-5.69995591731767
420,420,"(+)-(3R)-3,7-dimethyloct-6-enyl ethyl oxalate",40428225,,CCOC(=O)C(=O)OCC[C@H](C)CCC=C(C)C,CCOC(=O)C(=O)OCC[C@H](C)CCC=C(C)C,Cactus,DW,2.00E+02,ppb,200.0,Floral musk,,210,0.3979400086720376,2.4559319556497243
422,422,"Ethyl (1S)-1-[(1\\\'R)-3,3-dimethylcyclohexyl]ethyl malonate",70615,"https://pubchem.ncbi.nlm.nih.gov/compound/Ethyl-hydrogen-malonate; I assumed ppb for the units that start with ""REL""",CCOC(=O)CC(=O)O[C@@H](C)[C@@H]1CCCC(C)(C)C1\r,CCOC(=O)CC(=O)O[C@@H](C)[C@@H]1CCCC(C)(C)C1\r,chem draw + cactus,LC,7.50E+00,Rel. Odor Int,7.5,"Powerful Musky, Fruity, Woody, Ambery",,211,0.17609125905568127,0.7781512503836435
424,424,"Ethyl (1S)-1-[(1\\\'RS)-3,3-dimethylcyclohexyl]ethyl malonate",70615,"""""","CCOC(=O)CC(=O)O[C@@H](C)C1CCCC(C)(C)C1","CCOC(=O)CC(=O)O[C@@H](C)C1CCCC(C)(C)C1",chem draw + cactus,LC,6.00E+00,Rel. Odor Int,6.0,"Musky, Fruity, Honey, Woody, Ambery",,212,0.17609125905568127,0.6812412373755873
426,426,(-)-Ambrox\\xc2\\xae,107166,"As usual, I assumed the blank units in this section to be ppm",CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]3(C)OCC[C@H]23,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]3(C)OCC[C@H]23,Extended Leffingwell Name + Cactus,DW,3.00E-01,,300.0,"moist, soft, creamy, persistent, warm, animalic, amber odor with a velvety effect",,213,0.9030899869919435,2.7269987279362624
428,428,"(4R,4aS,6R)-(+)-nootkatone",1268142,,C[C@@H]1CC(=O)C=C2CC[C@H](C[C@@]12C)C(C)=C\r,C[C@@H]1CC(=O)C=C2CC[C@H](C[C@@]12C)C(C)=C\r,chem draw + cactus,LC,8.00E+02,,800000.0,"strong grapefruit odor, bitter in taste",,214,2.8750612633917,6.203541309043456
430,430,"(+)-(4R,4aS,6R,8aS)-Tetrahydronootkatone",11658623,,CC(C)[C@@H]1CC[C@H]2CC(=O)C[C@@H](C)[C@]2(C)C1\r,CC(C)[C@@H]1CC[C@H]2CC(=O)C[C@@H](C)[C@]2(C)C1\r,chem draw + cactus,LC,5000-20000,,5000000.0,"dusty-woody, fresh, green, sour, spicy, herbal, slightly fruity, animal, erogenic",,215,0.7781512503836436,6.933053210369387
432,432,"(4R,4aS)-(+)-alpha-vetivone",442405,,C[C@H]1CC(=O)C=C2CCC(C[C@]12C)=C(C)C\r,C[C@H]1CC(=O)C=C2CCC(C[C@]12C)=C(C)C\r,chem draw + cactus,LC,600-1000,,600000.0,some grapefruit character in combination with its strong characteristic woody balsamic odor; also has been described as floral-waxy-woody,,216,1.0,6.0377885608894
434,434,"(+)-8-Dehydro-11,12-dihydronootkatone",71587038,http://www.thegoodscentscompany.com/data/rw1038261.html,CC(C)[C@H]1C[C@@]2(C)[C@H](C)CC(=O)C=C2C=C1\r,CC(C)[C@H]1C[C@@]2(C)[C@H](C)CC(=O)C=C2C=C1\r,chem draw + cactus,LC,5000-10000,,5000000.0,"On an odor rating scale: fresh, green, sour, dusty-woody, herbal-spicy, slightly animal, erogenic, fruity",,217,0.9030899869919435,6.948847477552619
436,436,"(-)-(1aR,5R,5aS,6aR)-Tricycloketone",71587038,"""""",CC(C)[C@]12C[C@H]1C3=CC(=O)C[C@@H](C)[C@]3(C)C2,CC(C)[C@]12C[C@H]1C3=CC(=O)C[C@@H](C)[C@]3(C)C2,Cactus,DW,40000-80000,,40000000.0,"On an odor rating scale: dusty-woody, fresh, green, sour, spicy herbal, slightly animal, erogenic",,218,0.3010299956639812,7.726998727936262
442,442,"(1\\\'R,E)-(+)-2-Methyl-4-(2\\\',2\\\',3\\\'-trimethyl-cyclopent-3-enyl)-but-2-en-1-ol",6438196,http://www.thegoodscentscompany.com/data/rw1009652.html,C\\C(CO)=C/C[C@H]1CC=C(C)C1(C)C,C\\C(CO)=C/C[C@H]1CC=C(C)C1(C)C,ChemDraw + Cactus,DW,5.40E+01,ppb,54.0,fresh and strong sandalwood oil odor associated with green trees,,221,0.8949720967697642,1.9813617154675636
446,446,"(-)-(2R)-2-methyl-4-[(1R)-2,2,3-trimethylcyclopent-3-en-1-yl]butan-1-ol",1747970,,CC1=CC[C@H](C1(C)C)CC[C@@H](C)CO,,,,1.87E+01,ppb,18.7,peculiar sandalwood\\\'s strongly excellent smell,,223,0.9482664815035561,1.526512794800294
452,452,"(1S,3S,1\\\'S,2\\\'R,4\\\'S,6\\\'S) (+)-erythro-trans-3-isocamphylcyclohexanol",0,,C[C@H]1[C@H]2C[C@H](C[C@@H]2[C@H]3CCC[C@H](O)C3)C1(C)C,C[C@H]1[C@H]2C[C@H](C[C@@H]2[C@H]3CCC[C@H](O)C3)C1(C)C,ChemDraw + Cactus,DW,7.00E+00,ppb,7.0,"sandalwood like odor without moldy feeling, and it is sufficiently diffusive",,226,0.36797678529459443,0.6232492903979004
454,454,"(2S,3R,4E)-3-methyl-4-[(1R,2R,6R,7R)-tricyclo[5.2.1.02,6]dec-4-en-8-ylidene]butan-2-ol",91749106,https://pubchem.ncbi.nlm.nih.gov/compound/91749106,C[C@H](O)[C@H](C)\\C=C\\1C[C@H]2C[C@@H]1[C@@H]3C=CC[C@H]23,C[C@H](O)[C@H](C)\\C=C\\1C[C@H]2C[C@@H]1[C@@H]3C=CC[C@H]23,Cactus,DW,5.00E+00,ppb,5.0,"very strong, sandal(wood), animalic",,227,1.526339277389844,0.9872631785970675
456,456,"(2R,3S,4E)-3-methyl-4-[(1R,2R,6R,7R)-tricyclo[5.2.1.02,6]dec-4-en-8-ylidene]butan-2-ol",91749106,"""""",C[C@@H](O)[C@@H](C)\\C=C\\1C[C@H]2C[C@@H]1[C@@H]3C=CC[C@H]23,C[C@@H](O)[C@@H](C)\\C=C\\1C[C@H]2C[C@@H]1[C@@H]3C=CC[C@H]23,Cactus,DW,7.00E+01,ppb,70.0,"sandal(wood), animalic",,228,0.012234456417011586,1.85117218772645
458,458,"(2R,3R,4E)-3-methyl-4-[(1R,2R,6R,7R)-tricyclo[5.2.1.02,6]dec-4-en-8-ylidene]butan-2-ol",91749106,"""""",C[C@@H](O)[C@H](C)\\C=C\\1C[C@H]2C[C@@H]1[C@@H]3C=CC[C@H]23,C[C@@H](O)[C@H](C)\\C=C\\1C[C@H]2C[C@@H]1[C@@H]3C=CC[C@H]23,Cactus,DW,1.37E+02,ppb,137.0,"sandal(wood), floral",,229,0.06467655716404472,2.167855976081901
460,460,"(2S,3S,4E)-3-methyl-4-[(1R,2R,6R,7R)-tricyclo[5.2.1.02,6]dec-4-en-8-ylidene]butan-2-ol",91749106,"""""",C[C@H](O)[C@@H](C)\\C=C\\1C[C@H]2C[C@@H]1[C@@H]3C=CC[C@H]23,C[C@H](O)[C@@H](C)\\C=C\\1C[C@H]2C[C@@H]1[C@@H]3C=CC[C@H]23,Cactus,DW,4.60E+01,ppb,46.0,"strong sandal(wood), floral",,230,0.6468723357443247,1.8754779860994164
